NameofSatellite,Country/Org of UN Registry,Owner,Users,Purpose,ClassOfOrbit,Perigee (km),Apogee (km),Eccentricity,Inclination,Period (minutes),Launch Mass (kg.),Date of Launch,Expected Lifetime,Launch Site,Launch Vehicle
Nanosat-1B,NR,"Instituto Nacional de Técnia Aeroespacial (INTA),Spain",Government,Communications/Technology Development,LEO,583,672,6.36E-03,98.1,97.3,20,29/07/2009,null,Baikonur Cosmodrome,Dnepr
"Navstar GPS IIF-1 (Navstar SVN 62, PRN 25, USA 213)",USA,"DoD/US Air Force,USA",Military/Commercial,Navigation/Global Positioning,MEO,"20,188","20,224",6.77E-04,55,718.94,"1,630",28/05/2010,12 yrs.,Cape Canaveral,Delta 4
"Navstar GPS IIF-10 (Navstar SVN 72, PRN 8, USA 262)",NR,"DoD/US Air Force,USA",Military/Commercial,Navigation/Global Positioning,MEO,"20,446","20,459",2.42E-04,54.9,728.96,"1,630",15/07/2015,12 yrs.,Cape Canaveral,Atlas 5
"Navstar GPS IIF-11 (Navstar SVN 73, PRN 10, USA 265)",NR,"DoD/US Air Force,USA",Military/Commercial,Navigation/Global Positioning,MEO,"20,426","20,486",1.12E-03,55,97.7,"1,630",31/10/2015,12 yrs.,Cape Canaveral,Atlas 5
"Navstar GPS IIF-12 (Navstar SVN 70, PRN 32, USA 266)",NR (12/16),"DoD/US Air Force,USA",Military/Commercial,Navigation/Global Positioning,MEO,"20,175","20,188",2.45E-04,55,717.9,"1,630",5/2/2016,12 yrs.,Cape Canaveral,Atlas 5
"Navstar GPS IIF-2 (Navstar SVN 63, PRN 01, USA 232)",USA,"DoD/US Air Force,USA",Military/Commercial,Navigation/Global Positioning,MEO,"20,451","20,464",2.42E-04,55.03,729.18,"1,630",16/07/2011,12 yrs.,Cape Canaveral,Delta 4
"Navstar GPS IIF-3 (Navstar SVN 65, PRN 24, USA 239)",USA,"DoD/US Air Force,USA",Military/Commercial,Navigation/Global Positioning,MEO,"20,174","20,191",3.20E-04,54.95,718,"1,630",4/10/2012,10 yrs.,Cape Canaveral,Delta 4
"Navstar GPS IIF-4 (Navstar SVN 66, PRN 27, USA 242)",USA,"DoD/US Air Force,USA",Military/Commercial,Navigation/Global Positioning,MEO,"20,184","20,247",1.18E-03,55.09,719.32,"1,630",15/05/2013,10 yrs.,Cape Canaveral,Atlas 5
"Navstar GPS IIF-5 (Navstar SVN 64, PRN 30, USA 248)",USA,"DoD/US Air Force,USA",Military/Commercial,Navigation/Global Positioning,MEO,"20,457","20,469",2.24E-04,54.98,729.39,"1,630",21/02/2014,10 yrs.,Cape Canaveral,Delta 4
"Navstar GPS IIF-6 (Navstar SVN 67, PRN 06, USA 251)",USA,"DoD/US Air Force,USA",Military/Commercial,Navigation/Global Positioning,MEO,"20,174","20,188",2.64E-04,55.05,717.92,"1,630",17/05/2014,10 yrs.,Cape Canaveral,Delta 4
"Navstar GPS IIF-7 (Navstar SVN 68, PRN 09, USA 256)",USA,"DoD/US Air Force,USA",Military/Commercial,Navigation/Global Positioning,MEO,"20,471","20,476",9.31E-05,54.92,729,"1,630",2/8/2014,10 yrs.,Cape Canaveral,Atlas 5
"Navstar GPS IIF-8 (Navstar SVN 69, PRN 03, USA 258)",USA,"DoD/US Air Force,USA",Military/Commercial,Navigation/Global Positioning,MEO,"20,155","20,211",1.05E-03,54.97,718.02,"1,630",29/10/2014,10 yrs.,Cape Canaveral,Atlas 5
"Navstar GPS IIF-9 (Navstar SVN 71, PRN 26, USA 260)",USA,"DoD/US Air Force,USA",Military/Commercial,Navigation/Global Positioning,MEO,"20,445","20,469",4.47E-04,55,729.14,"1,630",25/03/2015,12 yrs.,Cape Canaveral,Delta 4M
"Navstar GPS IIR-10 (Navstar SVN 47, PRN 22, USA 175)",USA,"DoD/US Air Force,USA",Military/Commercial,Navigation/Global Positioning,MEO,"19,963","20,327",6.86E-03,55.1,716.47,"2,217",21/12/2003,10 yrs.,Cape Canaveral,Delta 2
"Navstar GPS IIR-11 (Navstar SVN 59, PRN 19, USA 177)",USA,"DoD/US Air Force,USA",Military/Commercial,Navigation/Global Positioning,MEO,"20,089","20,276",3.52E-03,55,717.98,"2,217",20/03/2004,10 yrs.,Cape Canaveral,Delta 2
"Navstar GPS IIR-12 (Navstar SVN 60, PRN 23, USA 178)",USA,"DoD/US Air Force,USA",Military/Commercial,Navigation/Global Positioning,MEO,"20,072","20,292",4.14E-03,55.37,717.96,"2,217",23/06/2004,10 yrs.,Cape Canaveral,Delta 2
"Navstar GPS IIR-13 (Navstar SVN 61, PRN 02, USA 180)",USA,"DoD/US Air Force,USA",Military/Commercial,Navigation/Global Positioning,MEO,"19,938","20,426",9.19E-03,54.8,718,"2,217",6/11/2004,10 yrs.,Cape Canaveral,Delta 2
"Navstar GPS IIR-2 (Navstar SVN 43, PRN 13, USA 132)",USA,"DoD/US Air Force,USA",Military/Commercial,Navigation/Global Positioning,MEO,"20,123","20,247",2.33E-03,54.9,718.09,"2,217",23/07/1997,10 yrs.,Cape Canaveral,Delta 2
"Navstar GPS IIR-3 (Navstar SVN 46, PRN 11, USA 145)",USA,"DoD/US Air Force,USA",Military/Commercial,Navigation/Global Positioning,MEO,"20,096","20,268",3.24E-03,53,717.97,"2,217",7/10/1999,10 yrs.,Cape Canaveral,Delta 2
"Navstar GPS IIR-4 (Navstar SVN 51, PRN 20, USA 150)",USA,"DoD/US Air Force,USA",Military/Commercial,Navigation/Global Positioning,MEO,"20,133","20,234",1.90E-03,54.9,718.03,"2,217",11/5/2000,10 yrs.,Cape Canaveral,Delta 2
"Navstar GPS IIR-5 (Navstar SVN 44, PRN 28, USA 151)",USA,"DoD/US Air Force,USA",Military/Commercial,Navigation/Global Positioning,MEO,"20,184","20,427",4.55E-03,55,722.98,"2,217",16/07/2000,10 yrs.,Cape Canaveral,Delta 2
"Navstar GPS IIR-6 (Navstar SVN 41, PRN 14, USA 154)",USA,"DoD/US Air Force,USA",Military/Commercial,Navigation/Global Positioning,MEO,"20,177","20,498",6.01E-03,55,724.28,"2,217",10/11/2000,10 yrs.,Cape Canaveral,Delta 2
"Navstar GPS IIR-7 (Navstar SVN 54, PRN 18, USA 156)",USA,"DoD/US Air Force,USA",Military/Commercial,Navigation/Global Positioning,MEO,"20,104","20,266",3.05E-03,55,718.09,"2,217",30/01/2001,10 yrs.,Cape Canaveral,Delta 2
"Navstar GPS IIR-8 (Navstar SVN 56, PRN 16, USA 166)",USA,"DoD/US Air Force,USA",Military/Commercial,Navigation/Global Positioning,MEO,"20,155","20,344",3.55E-03,55,720.71,"2,217",29/01/2003,10 yrs.,Cape Canaveral,Delta 2
"Navstar GPS IIR-9 (Navstar SVN 45, PRN 21, USA 168)",USA,"DoD/US Air Force,USA",Military/Commercial,Navigation/Global Positioning,MEO,"20,063","20,433",6.95E-03,54.9,720.65,"2,217",31/03/2003,10 yrs.,Cape Canaveral,Delta 2
"Navstar GPS IIR-M-1 (Navstar SVN 53, PRN 17, USA 183)",USA,"DoD/US Air Force,USA",Military/Commercial,Navigation/Global Positioning,MEO,"20,142","20,221",1.49E-03,55.08,717.95,"2,217",26/09/2005,10 yrs.,Cape Canaveral,Delta 2
"Navstar GPS IIR-M-2 (Navstar SVN 52, PRN 31, USA 190)",USA,"DoD/US Air Force,USA",Military/Commercial,Navigation/Global Positioning,MEO,"20,020","20,342",6.06E-03,54.94,717.93,"2,060",25/09/2006,10 yrs.,Cape Canaveral,Delta 2
"Navstar GPS IIR-M-3 (Navstar SVN 58, PRN 12, USA 192)",USA,"DoD/US Air Force,USA",Military/Commercial,Navigation/Global Positioning,MEO,"20,206","20,366",3.00E-03,55.02,722.19,"2,060",17/11/2006,10 yrs.,Cape Canaveral,Delta 2
"Navstar GPS IIR-M-4 (Navstar SVN 55, PRN 15, USA 196)",USA,"DoD/US Air Force,USA",Military/Commercial,Navigation/Global Positioning,MEO,"20,149","20,213",1.21E-03,54.8,717.93,"2,217",17/10/2007,10 yrs.,Cape Canaveral,Delta 2
"Navstar GPS IIR-M-5 (Navstar SVN 57, PRN 29, USA 199)",USA,"DoD/US Air Force,USA",Military/Commercial,Navigation/Global Positioning,MEO,"20,150","20,311",3.03E-03,54.96,719.92,"2,060",20/12/2007,10 yrs.,Cape Canaveral,Delta 2
"Navstar GPS IIR-M-6 (Navstar SVN 48, PRN 07, USA 201)",USA,"DoD/US Air Force,USA",Military/Commercial,Navigation/Global Positioning,MEO,"20,135","20,152",3.21E-04,55.1,716.4,"2,217",15/03/2008,10 yrs.,Cape Canaveral,Delta 2
"Navstar GPS IIR-M-8 (Navstar SVN 50, PRN 05, USA 206)",USA,"DoD/US Air Force,USA",Military/Commercial,Navigation/Global Positioning,MEO,"20,160","20,209",9.23E-04,55.12,718.07,"2,059",17/08/2009,10 yrs.,Cape Canaveral,Delta 2
Naxing 2,NR,"Tsinghua University,China",Civil,Technology Development,LEO,519,540,1.52E-03,97.45,95.22,20,19/09/2015,null,Taiyuan Launch Center,Long March 6
"Nayif-1 (Emirates Oscar 88, EO88)",NR (9/17),"Mohammed bin Rashid Space Centre/American University of Sharjah,United Arab Emirates",Civil,Communications/Technology Development,LEO,496,507,8.00E-04,97.5,94.6,2,15/02/2017,null,Satish Dhawan Space Centre,PSLV XL
NEOSSat (Near Earth Object Surveillance Satellite),NR,"Canadian Space Agency,Canada",Government,Space Observation,LEO,772,786,9.79E-04,98.6,100.4,74,25/02/2013,null,Satish Dhawan Space Centre,PSLV
NigComSat-1R,China,"NigComSat,Nigeria",Commercial,Communications,GEO,"35,793","35,795",2.37E-05,0.2,1436.1,"5,150",17/12/2011,15 yrs.,Xichang Satellite Launch Center,Long March 3B
NigeriaEduSat-1 (BIRD NN),NR (10/17),"Kyushu Institute of Technology (KIT),Nigeria",Civil,Communications,LEO,396,410,1.03E-03,51.6,92.6,2,7/7/2017,null,International Space Station,Nanorack Deployer
NigeriaSat-2,Nigeria,"National Space Research and Development Agency (NASRDA),Nigeria",Government,Earth Observation,LEO,691,705,9.90E-04,98.2,98.7,300,17/08/2011,7 yrs.,Dombarovsky Air Base,Dnepr 1
Nigeriasat-X,Nigeria,"National Space Research and Development Agency (NASRDA),Nigeria",Government,Earth Observation/Technology Development,LEO,661,696,2.48E-03,98.2,98.3,100,17/08/2011,null,Dombarovsky Air Base,Dnepr 1
Nilesat 102 ,NR,"Egyptian Radio and TV Union ,Egypt",Government,Communications,GEO,"35,764","35,808",5.22E-04,0.03,1436.08,"1,825",17/08/2000,15 yrs.,Guiana Space Center,Ariane 44LP
Nilesat 201,NR,"Egyptian Radio and TV Union ,Egypt",Government,Communications,GEO,"35,795","35,813",2.13E-04,0.05,1436.23,"3,200",4/8/2010,15 yrs.,Guiana Space Center,Ariane 5
Nimiq 2 ,Canada,"Telesat Canada Ltd. (BCE, Inc.),Canada",Commercial,Communications,GEO,"35,779","35,793",1.66E-04,0.01,1436.08,"3,600",29/12/2002,12 yrs.,Baikonur Cosmodrome,Proton
Nimiq 4,Canada,"Telesat Canada Ltd. (BCE, Inc.),Canada",Commercial,Communications,GEO,"35,779","35,794",1.78E-04,0.01,1436.1,"4,850",19/09/2008,15 yrs.,Baikonur Cosmodrome,Proton
Nimiq 5,NR,"Echostar Corporation (entire payload leased from Telesat Canada Ltd.),Canada",Commercial,Communications,GEO,"35,700","35,700",0.00E+00,0.01,1436.1,"4,745",17/09/2009,15 yrs.,Baikonur Cosmodrome,Breeze M
Nimiq 6,NR,"Telesat Canada Ltd. (BCE, Inc.),Canada",Commercial,Communications,GEO,"35,764","35,809",5.34E-04,0.04,1436.09,"4,745",18/05/2012,15 yrs.,Baikonur Cosmodrome,Breeze M
NIUSat (Noorul Islam University Satellite),NR (10/17),"Noorul Islam University,India",Civil,Technology Development,LEO,496,517,1.53E-03,97.4,94.5,15,22/06/2017,2 yrs.,Satish Dhawan Space Centre,PSLV
NJUST-1 (QB50 - CN03),NR (10/17),"Nanjing University of Science and Technology,China",Civil,Space Science,LEO,398,408,7.38E-04,51.6,92.6,4,25/05/2017,null,International Space Station,Nanorack Deployer
NOAA-15 (NOAA-K),USA,"National Oceanographic and Atmospheric Administration (NOAA) (part of international program),USA",Government,Earth Observation,LEO,800,816,1.11E-03,98.7,101,"2,223",13/05/1998,3 yrs.,Vandenberg AFB,Titan 2
"NOAA-18 (NOAA-N, COSPAS-SARSAT)",USA,"National Oceanographic and Atmospheric Administration (NOAA) (part of international program),USA",Government,Earth Observation,LEO,843,864,1.45E-03,99.1,102,"2,223",20/05/2005,3 yrs.,Vandenberg AFB,Delta 2
"NOAA-19 (NOAA-N Prime, COSPAS-SARSAT)",USA,"National Oceanographic and Atmospheric Administration (NOAA) (part of international program),USA",Government,Earth Observation,LEO,845,864,1.31E-03,98.9,102,"1,420",6/2/2009,3 yrs.,Vandenberg AFB,Delta 2
NorSat-1,NR (10/17),"Norwegian Space Center,Norway",Government,Earth Science/Earth Observation,LEO,586,605,1.36E-03,97.6,96.5,30,14/07/2017,null,Baikonur Cosmodrome,Soyuz 2.1a
NorSat-2,NR (10/17),"Norwegian Space Center,Norway",Government,Earth Observation,LEO,586,605,1.36E-03,97.6,96.5,16,14/07/2017,null,Baikonur Cosmodrome,Soyuz 2.1a
NPP (National Polar-orbiting Operational Environmental Satellite System [NPOESS]),USA,"National Oceanographic and Atmospheric Administration (NOAA)/NASA,USA",Government,Earth Observation,LEO,827,827,0.00E+00,98.7,101.4,"2,128",28/10/2011,null,Vandenberg AFB,Delta 2
NROL-76 (USA 276),NR (9/17),"National Reconnaissance Office,USA",Military,Technology Development,LEO,300,300,0.00E+00,51,90.52,null,1/5/2017,null,Cape Canaveral,Falcon 9
Nsight-1 (QB50 - AZ02),NR (10/17),"SCS Space,South Africa",Civil,Earth Science,LEO,399,406,5.17E-04,51.6,92.6,3,26/05/2017,null,International Space Station,Nanorack Deployer
"NSS-10 (Star One C-12, AMC-12, Americom 12, Worldsat 2)",USA,"SES (Société Européenne des Satellites (SES)),Netherlands",Commercial,Communications,GEO,"35,778","35,795",2.02E-04,0.02,1436.1,"5,396",3/2/2005,16 yrs.,Baikonur Cosmodrome,Proton/Breeze M
"NSS-11 (Worldsat-1, AAP-1, GE-1A) ",USA,"SES (Société Européenne des Satellites (SES)),Netherlands",Commercial,Communications,GEO,"35,776","35,798",2.61E-04,0.07,1436.15,"3,582",2/10/2000,15 yrs.,Baikonur Cosmodrome,Proton K
NSS-12,United Kingdom,"SES (Société Européenne des Satellites (SES)),Netherlands",Commercial,Communications,GEO,"35,779","35,793",1.66E-04,0.06,1436.08,null,29/10/2009,15 yrs.,Guiana Space Center,Ariane 5
NSS-5 (Intelsat 803),NR,"SES World Skies/Intelsat [SES] (shared capacity),Netherlands",Commercial,Communications,GEO,"35,776","35,796",2.37E-04,0,1436.08,"3,412",23/09/1997,14 yrs.,Guiana Space Center,Ariane 42L
NSS-6 ,NR,"SES (Société Européenne des Satellites (SES)),Netherlands",Commercial,Communications,GEO,"35,776","35,797",2.49E-04,0.02,1436.12,"4,575",17/12/2002,null,Guiana Space Center,Ariane 4
NSS-7 ,NR,"SES (Société Européenne des Satellites (SES)),Netherlands",Commercial,Communications,GEO,"35,775","35,798",2.73E-04,0.08,1436.12,"4,500",16/04/2002,14 yrs.,Guiana Space Center,Ariane 42L
NSS-806 (Intelsat 806),NR,"SES/Intelsat (SES [Société Européenne des Satellites (SES)]) (shared capacity),Netherlands",Commercial,Communications,GEO,"35,779","35,794",1.78E-04,0.03,1436.11,"3,720",19/02/1998,12 yrs.,Guiana Space Center,Ariane 44L
NSS-9,United Kingdom,"SES (Société Européenne des Satellites (SES)),Netherlands",Commercial,Communications,GEO,"35,784","35,792",9.49E-05,0.02,1436.17,"2,238",11/2/2009,15 yrs.,Guiana Space Center,Ariane 5 ECA
N-Star C ,Japan,"Sky Perfect JSAT Corporation,Japan",Commercial,Communications,GEO,"35,772","35,799",3.20E-04,0.06,1436.08,"1,625",5/7/2002,15 yrs.,Guiana Space Center,Ariane 5
"NUDT Phonesat (National University of Defense Technology Phone Satellite, CAS-3I)",NR,"National University of Defense Technology/CAMSAT,China",Military,Technology Demonstration,LEO,516,536,1.45E-03,97.47,95.24,1,19/09/2015,null,Taiyuan Launch Center,Long March 6
"NUDTSat (National University of Defense Satellite, QB50-CN06/BE06)",NR (10/17),"National University of Defense,China",Military,Earth Science,LEO,497,515,1.31E-03,97.45,94.7,5,23/06/2017,null,Satish Dhawan Space Centre,PSLV
ÑuSat-1 (Fresco),NR (12/16),"Satellogic,Argentina",Commercial,Earth Observation,LEO,481,499,1.31E-03,97.5,94.41,35,29/05/2016,null,Taiyuan Launch Center,Long March 4B
ÑuSat-2 (Batata),NR (12/16),"Satellogic,Argentina",Commercial,Earth Observation,LEO,482,500,1.31E-03,97.5,94.41,35,29/05/2016,null,Taiyuan Launch Center,Long March 4B
ÑuSat-3 (Milanesat),NR (10/17),"Satellogic,Argentina",Commercial,Earth Observation,LEO,535,545,7.24E-04,43.02,95.44,35,15/06/2017,null,Jiuquan Satellite Launch Center,Long March 4B
NuSTAR (Nuclear Spectroscopic Telescope Array),USA,"National Aeronautics and Space Administration (NASA),USA",Government,Space Science,LEO,613,632,1.36E-03,6,97.2,360,13/06/2012,2 yrs.,Kwajalein Island,Pegasus XL
"O/OREOS (Organism/Organic Exposure to Orbital Stresses, USA 219)",USA,"National Aeronautics and Space Administration (NASA)-Ames Research Center/Stanford University,USA",Government/Civil,Space Science,LEO,624,654,2.14E-03,71.97,97.48,6,20/11/2010,.5 yrs.,Kodiak Launch Complex,Minotaur 4
O3b FM02,United Kingdom,"O3b Networks Ltd.,United Kingdom",Commercial,Communications,MEO,"8,063","8,069",2.08E-04,0.03,287.93,700,25/06/2013,null,Guiana Space Center,Soyuz-ST
O3b FM03,United Kingdom,"O3b Networks Ltd.,United Kingdom",Commercial,Communications,MEO,"8,060","8,071",3.81E-04,0.09,287.92,650,10/7/2014,null,Guiana Space Center,Soyuz-ST-B
O3b FM04,United Kingdom,"O3b Networks Ltd.,United Kingdom",Commercial,Communications,MEO,"8,062","8,069",2.42E-04,0.04,287.93,700,25/06/2013,null,Guiana Space Center,Soyuz-ST
O3b FM05 (Other 3 Billion),United Kingdom,"O3b Networks Ltd.,United Kingdom",Commercial,Communications,MEO,"8,064","8,068",1.39E-04,0.03,287.94,700,25/06/2013,null,Guiana Space Center,Soyuz-ST
O3b FM06,United Kingdom,"O3b Networks Ltd.,United Kingdom",Commercial,Communications,MEO,"7,831","7,845",4.93E-04,0.12,281.15,650,10/7/2014,null,Guiana Space Center,Soyuz-ST-B
O3B FM07,United Kingdom,"O3b Networks Ltd.,United Kingdom",Commercial,Communications,MEO,"7,827","7,844",5.98E-04,0.12,281.08,650,10/7/2014,null,Guiana Space Center,Soyuz-ST-B
O3B FM08,United Kingdom,"O3b Networks Ltd.,United Kingdom",Commercial,Communications,MEO,"7,815","7,842",9.51E-04,0.12,280.87,650,10/7/2014,null,Guiana Space Center,Soyuz-ST-B
O3B FM09,United Kingdom,"O3b Networks Ltd.,United Kingdom",Commercial,Communications,MEO,"8,063","8,068",1.73E-04,0.04,287.93,650,18/12/2014,null,Guiana Space Center,Soyuz-ST-B
O3B FM10,United Kingdom,"O3b Networks Ltd.,United Kingdom",Commercial,Communications,MEO,"8,063","8,069",2.08E-04,0.04,287.93,650,18/12/2014,null,Guiana Space Center,Soyuz-ST-B
O3B FM11,United Kingdom,"O3b Networks Ltd.,United Kingdom",Commercial,Communications,MEO,"8,063","8,069",2.08E-04,0.04,287.93,650,18/12/2014,null,Guiana Space Center,Soyuz-ST-B
O3B FM12,United Kingdom,"O3b Networks Ltd.,United Kingdom",Commercial,Communications,MEO,"8,063","8,069",2.08E-04,0.04,287.93,650,18/12/2014,null,Guiana Space Center,Soyuz-ST-B
O3b PFM,United Kingdom,"O3b Networks Ltd.,United Kingdom",Commercial,Communications,MEO,"8,063","8,069",2.08E-04,0.03,287.93,700,25/06/2013,null,Guiana Space Center,Soyuz-ST
OCO 2  (Orbiting Carbon Observatory),USA,"National Aeronautics and Space Administration (NASA),USA",Government,Earth Observation,LEO,701,704,2.12E-04,98.2,98.83,454,2/7/2014,2 yrs.,Vandenberg AFB,Delta 2
Odin ,Sweden,"Swedish National Space Board,Sweden",Government,Earth Observation,LEO,569,573,2.88E-04,97.6,96.1,250,20/02/2001,2 yrs.,Svobodny Cosmodrome,Start 1
Ofeq 10,NR,"Ministry of Defense,Israel",Military,Earth Observation,LEO,385,601,1.57E-02,140.94,94.47,300,9/4/2014,5 yrs.,Palmachim Launch Complex ,Shavit
Ofeq 11,NR (12/16),"Ministry of Defense,Israel",Military,Earth Observation,LEO,386,608,1.62E-02,142,94.4,300,13/09/2016,5 yrs.,Palmachim Launch Complex ,Shavit
Ofeq 5 ,NR,"Ministry of Defense,Israel",Military,Earth Observation,LEO,367,764,2.86E-02,143.4,95.97,300,28/05/2002,4 yrs.,Palmachim Launch Complex ,Shavit
Ofeq 7,NR,"Ministry of Defense,Israel",Military,Earth Observation,LEO,340,576,1.73E-02,141.76,93.75,300,10/6/2007,5 yrs.,Palmachim Launch Complex ,Shavit
Ofeq 9,NR,"Ministry of Defense,Israel",Military,Earth Observation,LEO,343,589,1.80E-02,141.78,93.91,300,22/06/2010,5 yrs.,Palmachim Launch Complex ,Shavit
OPTOS,NR,"Spanish Space Agency,Spain",Government,Technology Development,LEO,594,797,1.44E-02,97.8,98.7,3,21/11/2013,null,Dombarovsky Air Base,Dnepr
Optsat-3000,NR (10/17),"Italian Defense Ministry,Italy",Military,Earth Observation,LEO,452,453,7.33E-05,97.2,93.5,368,1/8/2017,null,Guiana Space Center,Vega
Optus 10,Australia,"Optus Communications (Parent: Singapore Telecom),Australia",Commercial,Communications,GEO,"35,772","35,802",3.56E-04,0.05,1436.11,"3,270",11/9/2014,15 yrs.,Guiana Space Center,Ariane 5 ECA
Optus and Defence C1 ,Australia,"Optus Communications (Parent: Singapore Telecom)/Australian Ministry of Defence,Australia",Military/Commercial,Communications,GEO,"35,773","35,799",3.08E-04,0.02,1436.08,"4,800",12/6/2003,15 yrs.,Guiana Space Center,Ariane 5G
Optus D1 ,Australia,"Optus Communications (Parent: Singapore Telecom),Australia",Commercial,Communications,GEO,"35,774","35,797",2.73E-04,0.02,1436.08,"2,300",13/10/2006,15 yrs.,Guiana Space Center,Ariane 5 ECA
Optus D2,Australia,"Optus Communications (Parent: Singapore Telecom),Australia",Commercial,Communications,GEO,"35,774","35,799",2.97E-04,0.03,1436.1,"2,400",5/10/2007,15 yrs.,Guiana Space Center,Ariane 5
Optus D3,Australia,"Optus Communications (Parent: Singapore Telecom),Australia",Commercial,Communications,GEO,"35,775","35,795",2.37E-04,0.04,1436.04,"2,501",21/08/2009,15 yrs.,Guiana Space Center,Ariane 5
ORBCOMM FM-10 (ORBCOMM A2),USA,"ORBCOMM Inc.,USA",Commercial,Communications,LEO,770,776,4.20E-04,45,100.3,45,23/12/1997,5 yrs.,Wallops Island Flight Facility,Pegasus
ORBCOMM FM-11 (ORBCOMM A3),USA,"ORBCOMM Inc.,USA",Commercial,Communications,LEO,769,777,5.60E-04,45,100.3,45,23/12/1997,5 yrs.,Wallops Island Flight Facility,Pegasus
ORBCOMM FM-12 (ORBCOMM A4),USA,"ORBCOMM Inc.,USA",Commercial,Communications,LEO,770,776,4.20E-04,45,100.3,45,23/12/1997,5 yrs.,Wallops Island Flight Facility,Pegasus
ORBCOMM FM-13 (ORBCOMM B1),USA,"ORBCOMM Inc.,USA",Commercial,Communications,LEO,788,795,4.89E-04,45,100.7,45,2/8/1998,5 yrs.,Wallops Island Flight Facility,Pegasus XL
ORBCOMM FM-14 (ORBCOMM B2),USA,"ORBCOMM Inc.,USA",Commercial,Communications,LEO,789,794,3.49E-04,45,100.7,45,2/8/1998,5 yrs.,Wallops Island Flight Facility,Pegasus XL
ORBCOMM FM-15 (ORBCOMM B3),USA,"ORBCOMM Inc.,USA",Commercial,Communications,LEO,788,795,4.89E-04,45,100.7,45,2/8/1998,5 yrs.,Wallops Island Flight Facility,Pegasus XL
ORBCOMM FM-16 (ORBCOMM B4),USA,"ORBCOMM Inc.,USA",Commercial,Communications,LEO,789,794,3.49E-04,45,100.7,45,2/8/1998,5 yrs.,Wallops Island Flight Facility,Pegasus
